ID,Rank,Symbol,Name,Price(USD),Max Supply
bitcoin,1,BTC,Bitcoin,26954.8700173895910048,21000000.0000000000000000
ethereum,2,ETH,Ethereum,1817.5370944096454662,
tether,3,USDT,Tether,1.0011837229851084,
binance-coin,4,BNB,BNB,310.2328578152942164,166801148.0000000000000000
usd-coin,5,USDC,USD Coin,1.0008572392134495,
xrp,6,XRP,XRP,0.4664247836559218,100000000000.0000000000000000
cardano,7,ADA,Cardano,0.3652488786511702,45000000000.0000000000000000
dogecoin,8,DOGE,Dogecoin,0.0733996851061734,
polygon,9,MATIC,Polygon,0.8733763000704389,10000000000.0000000000000000
solana,10,SOL,Solana,20.2327936784737852,
litecoin,11,LTC,Litecoin,92.0745477484988535,84000000.0000000000000000
polkadot,12,DOT,Polkadot,5.4199229513002275,
tron,13,TRX,TRON,0.0725865485018227,
binance-usd,14,BUSD,Binance USD,1.0008973176105020,
shiba-inu,15,SHIB,Shiba Inu,0.0000087127960940,
avalanche,16,AVAX,Avalanche,14.6436160089053040,720000000.0000000000000000
multi-collateral-dai,17,DAI,Multi Collateral DAI,1.0014267683220260,
wrapped-bitcoin,18,WBTC,Wrapped Bitcoin,26969.3333304498545881,
chainlink,19,LINK,Chainlink,6.5071026963967742,1000000000.0000000000000000
uniswap,20,UNI,Uniswap,5.2524993843908540,1000000000.0000000000000000
monero,21,XMR,Monero,151.5592868492849970,
okb,22,OKB,OKB,45.7655632364310194,
cosmos,23,ATOM,Cosmos,10.5871513596727520,
ethereum-classic,24,ETC,Ethereum Classic,18.3389786212575068,210700000.0000000000000000
stellar,25,XLM,Stellar,0.0883979794871428,50001806812.0000000000000000
internet-computer,26,ICP,Internet Computer,5.2250555359832942,
bitcoin-cash,27,BCH,Bitcoin Cash,116.5803111428439438,21000000.0000000000000000
trueusd,28,TUSD,TrueUSD,1.0004596473820119,
filecoin,29,FIL,Filecoin,4.4987870888166373,
lido-dao,30,LDO,Lido DAO,2.1493555190323350,1000000000.0000000000000000
crypto-com-coin,31,CRO,Crypto.com Coin,0.0622614553823112,30263013692.0000000000000000
near-protocol,32,NEAR,NEAR Protocol,1.6551918023644703,
bitcoin-bep2,33,BTCB,Bitcoin BEP2,26929.0538561482173958,
vechain,34,VET,VeChain,0.0193597491601555,86712634466.0000000000000000
quant,35,QNT,Quant,102.9930842860417123,14881364.0000000000000000
algorand,36,ALGO,Algorand,0.1646702152961860,10000000000.0000000000000000
the-graph,37,GRT,The Graph,0.1211041937318831,
fantom,38,FTM,Fantom,0.3693995962097788,3175000000.0000000000000000
paxos-standard,39,USDP,Pax Dollar,1.0004688551317537,
frax,40,FRAX,Frax,1.0007320865428410,
the-sandbox,41,SAND,The Sandbox,0.5280707015803535,3000000000.0000000000000000
rocket-pool,42,RPL,Rocket Pool,49.8062683097525541,
eos,43,EOS,EOS,0.8810350570070752,
aave,44,AAVE,Aave,64.7388964395635923,16000000.0000000000000000
stacks,45,STX,Stacks,0.6676557913992772,1818000000.0000000000000000
decentraland,46,MANA,Decentraland,0.4903937532801173,
elrond-egld,47,EGLD,MultiversX,37.2375439214545663,31415926.0000000000000000
theta,48,THETA,THETA,0.8979220600927575,1000000000.0000000000000000
render-token,49,RNDR,Render Token,2.3794666573904728,536870912.0000000000000000
conflux-network,50,CFX,Conflux,0.2972409844834831,
tezos,51,XTZ,Tezos,0.8915481622641562,
axie-infinity,52,AXS,Axie Infinity,7.0064380885376201,270000000.0000000000000000
flow,53,FLOW,Flow,0.7658334939461102,
hedera-hashgraph,54,HBAR,Hedera Hashgraph,0.0528137617879831,50000000000.0000000000000000
chiliz,55,CHZ,Chiliz,0.1068613235926557,8888888888.0000000000000000
kucoin-token,56,KCS,KuCoin Token,7.4559354862143732,170118638.0000000000000000
zcash,57,ZEC,Zcash,41.8160565092361975,21000000.0000000000000000
curve-dao-token,58,CRV,Curve DAO Token,0.8276545211582505,3303030299.0000000000000000
bitcoin-sv,59,BSV,Bitcoin SV,34.8868826432579444,21000000.0000000000000000
neo,60,NEO,Neo,9.4812052221549423,100000000.0000000000000000
maker,61,MKR,Maker,625.2667655988930956,1005577.0000000000000000
gemini-dollar,62,GUSD,Gemini Dollar,0.9938078944616330,0.0000000000000000
synthetix-network-token,63,SNX,Synthetix,2.4209689865185567,212424133.0000000000000000
klaytn,64,KLAY,Klaytn,0.1799268250990527,
