date,price,total_volume,market_cap,coin_name
2018-07-03,2.9378659348183795,3172537.587626663,0.0,tezos
2018-07-04,2.0479850683251923,14265452.267055135,0.0,tezos
2018-07-05,1.969391918199654,6492796.107564352,1196384007.7402582,tezos
2018-07-06,1.5280326087828853,8681128.84694601,928263064.1262432,tezos
2018-07-07,1.7963043296002026,16175069.914253777,1091235194.532975,tezos
2018-07-08,1.8446403170813672,5530661.826173929,1120598777.2136958,tezos
2018-07-09,2.3617966823226717,12816121.674699372,1434765601.5811815,tezos
2018-07-10,2.280764008544281,7208444.790200333,1385539140.297881,tezos
2018-07-11,2.274072995496755,7607209.81813254,1381474423.198321,tezos
2018-07-12,2.1256143580967763,6652788.392278725,1291287427.9360414,tezos
2018-07-13,1.8816336143548986,4769304.261739765,1143071799.8978212,tezos
2018-07-14,1.9957237728854356,4724482.121363514,1212380320.8910751,tezos
2018-07-15,2.001383994766957,3369399.6581022716,1215818843.6537278,tezos
2018-07-16,2.2183920424369763,4152985.834801243,1347648854.42207,tezos
2018-07-17,2.3776087160008164,4500944.967646651,1444371238.7565773,tezos
2018-07-18,2.4802735787066057,4929210.837630469,1506739017.746114,tezos
2018-07-19,2.3549783792403733,4083953.7813908267,1430623557.1804686,tezos
2018-07-20,2.2982548308258104,3904003.433989827,1396164623.1519887,tezos
2018-07-21,2.087353114850176,3351255.8303978974,1268044141.968696,tezos
2018-07-22,2.193720231404076,2460136.3480537008,1332660999.59796,tezos
2018-07-23,2.2268116759345165,1950935.1274525626,1352763689.5010622,tezos
2018-07-24,2.217565897883201,2756437.05628186,1347146980.65937,tezos
2018-07-25,2.1690898967114274,3899186.049058284,1317698341.1960142,tezos
2018-07-26,2.1283874094084294,4471167.373605118,1292972026.2180011,tezos
2018-07-27,2.061315175328334,2716146.913211778,1252226379.0589566,tezos
2018-07-28,2.113234767549601,1686747.826052152,1283766962.346565,tezos
2018-07-29,2.1056845791181047,1969379.772477964,1279180305.6169462,tezos
2018-07-30,2.1071373993487303,1947369.091497335,1280062877.9855943,tezos
2018-07-31,2.145322179882561,3495254.877881956,1303259713.6928866,tezos
2018-08-01,1.9492356526373864,3540473.219351865,1184139297.303695,tezos
2018-08-02,1.889559669347092,2989715.1149536893,1147886791.443942,tezos
2018-08-03,1.72199604446513,3179158.9945918866,1046093725.6579152,tezos
2018-08-04,1.8457969482793726,4165819.588346163,1121301417.9909625,tezos
2018-08-05,1.890209432316914,2817584.0511858864,1148281515.3273566,tezos
2018-08-06,1.8550777640265623,2108391.763593319,1126939411.8489206,tezos
2018-08-07,1.8202343638613667,2462618.8029448837,1105772428.0973866,tezos
2018-08-08,1.78168086820639,2947127.2468789644,1082351601.9947474,tezos
2018-08-09,1.6050954176269354,2819415.909211263,975077875.9676815,tezos
2018-08-10,1.6772179191743455,1814332.1720850673,1018891505.2672386,tezos
2018-08-11,1.5767328597344032,2702987.9645494106,957847932.8732401,tezos
2018-08-12,1.5470979793524622,2562617.241746469,939845067.809865,tezos
2018-08-13,1.5260510057457406,2612457.9036883544,927059261.9975655,tezos
2018-08-14,1.3557057572422129,3087767.636962339,823576390.3452507,tezos
2018-08-15,1.3106130728782457,3435768.64655224,796183078.7648686,tezos
2018-08-16,1.4519993999048246,1700086.26551623,908709958.2157562,tezos
2018-08-17,1.377623261056174,2147404.509899419,838289104.7328513,tezos
2018-08-18,1.4816949338213148,2124219.5678563127,900113434.4016691,tezos
2018-08-19,1.3913692190827471,2091740.3618925228,843638488.2421296,tezos
2018-08-20,1.4022222065095822,1623730.9896443225,853010867.9514424,tezos
2018-08-21,1.489929063593698,5756573.5577209005,905115578.0005636,tezos
2018-08-22,1.3741221197859248,4800098.427082106,834764128.7656387,tezos
2018-08-23,1.2987125739907055,2247798.3654885655,788967892.0273077,tezos
2018-08-24,1.3244913115692187,1958057.216304546,804577676.3806863,tezos
2018-08-25,1.381189366359941,2055974.1934062701,839475395.968269,tezos
2018-08-26,1.3880104400109234,1272237.3480814267,842758545.8505919,tezos
2018-08-27,1.3288575216015293,563624.8556573621,807266381.4233496,tezos
2018-08-28,1.4034241845465443,1740270.3425466965,851546374.1859796,tezos
2018-08-29,1.423524999824125,2121932.354418986,865027396.2410809,tezos
2018-08-30,1.3875258796377432,1763894.4754730226,843037932.6257639,tezos
2018-08-31,1.3623489513228442,1836286.3033520484,827612057.9464701,tezos
2018-09-01,1.396804661173927,1756488.8609470464,848516260.8175137,tezos
2018-09-02,1.4279491131981952,1889399.1425004916,867629607.0521585,tezos
2018-09-03,1.4213170311969217,1623619.584178314,863434520.2387853,tezos
2018-09-04,1.407521515769863,2413874.4977043425,855053895.8019005,tezos
2018-09-05,1.423347007817127,2015615.9612160223,864576344.2941306,tezos
2018-09-06,1.3081790284422203,3185088.6062207944,792012587.4129976,tezos
2018-09-07,1.2373807225970432,2117196.8447359577,751780425.3934948,tezos
2018-09-08,1.2190890482470123,1908551.462615131,740583236.8131801,tezos
2018-09-09,1.1438535027402412,2138157.6551030013,694878467.4241599,tezos
2018-09-10,1.1896298174898572,1954088.860972878,722687076.9719182,tezos
2018-09-11,1.4047106738425272,3371023.721665985,853346340.1350605,tezos
2018-09-12,1.2919500707014233,2716544.953471961,784795585.2305363,tezos
2018-09-13,1.2413538745315087,1931460.7473388882,755546117.4970286,tezos
2018-09-14,1.334601248277874,1951285.4804811457,810755632.4337286,tezos
2018-09-15,1.5676682399729729,5522730.207810808,952971079.1103917,tezos
2018-09-16,1.6319469873816246,4815825.160713211,991734052.0151217,tezos
2018-09-17,1.6747791222996131,2691630.749399841,1017409962.8926136,tezos
2018-09-18,1.4931205882873366,4803009.161136536,907054394.2760302,tezos
2018-09-19,1.5317987243506388,2578631.198512166,930621008.5964262,tezos
2018-09-20,1.5335800051417392,2427931.3456965564,931633046.6203301,tezos
2018-09-21,1.706975086277385,3378640.0862994394,1036968658.1735408,tezos
2018-09-22,1.6726500185203792,4142353.3522508033,1016116555.6795772,tezos
2018-09-23,1.6747668572673724,1844517.4820035195,1017402512.0199397,tezos
2018-09-24,1.7098776898631396,1769883.0165620146,1038753828.2769073,tezos
2018-09-25,1.6351031413186328,2075617.1627443822,993458945.9385937,tezos
2018-09-26,1.5216669463842574,1534963.197609314,925424178.2172539,tezos
2018-09-27,1.4729486613197915,1307209.7831096288,894800169.7073942,tezos
2018-09-28,1.4456258329890264,1764855.4326860148,878201850.9273295,tezos
2018-09-29,1.4521511863492549,1815371.583851255,882165931.5823212,tezos
2018-09-30,1.4777268772913812,1097202.361181329,899627286.1962421,tezos
2018-10-01,1.4560014420727845,1618583.0606363576,884504919.7394125,tezos
2018-10-02,1.3521599737989316,1210632.2639621214,819097322.4071227,tezos
2018-10-03,1.3652218856166385,1599960.7694705317,829722090.5888232,tezos
2018-10-04,1.3722328109809265,1477193.6413995714,831655582.8526554,tezos
2018-10-05,1.3583547585880655,1400779.3101214203,825185629.6324507,tezos
2018-10-06,1.324596928178458,553372.032726361,804287100.3665521,tezos
2018-10-07,1.339538085405509,851647.1618528388,813752074.3335983,tezos
2018-10-08,1.309678245041183,363920.7234739828,795615181.0986313,tezos
2018-10-09,1.3482948968113475,1056619.8105316546,819074373.8491198,tezos
2018-10-10,1.4020778774744085,1284168.6714518813,851829698.3281083,tezos
2018-10-11,1.3776119644401534,1276731.0928922514,833868513.6878495,tezos
2018-10-12,1.2907640077909164,1588167.6991532668,787360341.7111198,tezos
2018-10-13,1.2511540094604496,1026598.0562615813,766138588.3685938,tezos
2018-10-14,1.2607458923362607,533027.7024072428,765859857.3545645,tezos
2018-10-15,1.2328492776606175,683843.9916233075,749468713.0966935,tezos
2018-10-16,1.3874232795917505,3767489.522235832,842844437.5802671,tezos
2018-10-17,1.4799505886863686,5157431.414635136,899170405.8128846,tezos
2018-10-18,1.4291050059389896,3031531.4117007945,867578428.0105522,tezos
2018-10-19,1.3392680751880697,2579580.849073446,1033686699.1590675,tezos
2018-10-20,1.3164446650287147,2131153.3195786322,1016440389.4659055,tezos
2018-10-21,1.3387560674681709,1392382.0360951812,1033413029.8565965,tezos
2018-10-22,1.3539455818118338,1260703.946092322,1045476278.6307068,tezos
2018-10-23,1.422787730164348,2593058.967079835,1099412180.0519407,tezos
2018-10-24,1.3807390512256807,2495540.0945375226,1067514651.2192438,tezos
2018-10-25,1.351544288879489,1806482.6339804742,1044454804.1942849,tezos
2018-10-26,1.3480125771462808,1721531.239239143,1041582999.0408741,tezos
2018-10-27,1.3554140627615914,2041527.2865325157,1047450439.746597,tezos
2018-10-28,1.3462966239838356,1015157.8614792321,1039923191.5799544,tezos
2018-10-29,1.3461086273892438,801779.6561169882,1040629537.9767648,tezos
2018-10-30,1.285589496645876,2340692.8397930646,993862218.1401511,tezos
2018-10-31,1.2913848429936419,1803367.6124864682,998816780.0941243,tezos
2018-11-01,1.2978713072467316,2095801.3900473034,1003821284.5285131,tezos
2018-11-02,1.3089038020611068,2313560.156647783,1012721961.7407149,tezos
2018-11-03,1.3150707392184573,2321192.7958704173,1017423624.4796458,tezos
2018-11-04,1.3189968006147632,1256251.354116301,1020494479.5588003,tezos
2018-11-05,1.3068087705890854,1614511.5209765634,1011127733.0484219,tezos
2018-11-06,1.3085248732902004,3643163.2263758765,1012870616.7634033,tezos
2018-11-07,1.3298624908811476,3103873.0329581653,1030016405.48443,tezos
2018-11-08,1.334379538810331,3038564.185469636,1032716257.3355281,tezos
2018-11-09,1.3236906745000734,2952165.2526011984,1025168610.5751605,tezos
2018-11-10,1.298285363259368,2731323.4919479694,1005269907.0231681,tezos
2018-11-11,1.3117734737958566,2212162.6141813537,1012020456.0488136,tezos
2018-11-12,1.325419089493692,2173309.1124873348,1025350554.2822804,tezos
2018-11-13,1.272450724129316,3231247.899739381,985367143.6763564,tezos
2018-11-14,1.2627554075028475,2508258.2411013655,978131155.4208263,tezos
2018-11-15,1.1335470543705246,3787589.577209006,876729085.2003262,tezos
2018-11-16,1.1164989135166412,3286644.848468818,865260769.6538826,tezos
2018-11-17,1.1162811135403967,2547758.936609715,865346001.1714342,tezos
2018-11-18,1.1037667608267068,1654106.5290330865,855739141.5592779,tezos
2018-11-19,1.08881609784426,1592887.2289708243,844155878.339016,tezos
2018-11-20,0.8347307918819051,4476312.559717107,649691566.8571488,tezos
2018-11-21,0.7173412917890623,5558302.1435519885,551914079.460944,tezos
2018-11-22,0.7258649904450178,3183243.4068498183,562992693.6456071,tezos
